metric,value
variant,baseline
ball_frames_with_detection,670
ball_avg_detections_per_frame,1.0
ball_total_tracks,1
ball_avg_track_length_frames,670.0
ball_max_track_length_frames,670
ball_frames_with_observed,670
ball_frames_with_interpolated,0
ball_max_interp_gap,0
ball_coverage_pct,89.33333333333333
player_frames_with_detection,750
player_avg_detections_per_frame,30.04
player_total_tracks,190
player_avg_track_length_frames,118.57894736842105
player_max_track_length_frames,750
goalkeeper_frames_with_detection,0
goalkeeper_avg_detections_per_frame,0.0
goalkeeper_total_tracks,0
goalkeeper_avg_track_length_frames,0.0
goalkeeper_max_track_length_frames,0
referee_frames_with_detection,0
referee_avg_detections_per_frame,0.0
referee_total_tracks,0
referee_avg_track_length_frames,0.0
referee_max_track_length_frames,0
player_mean_speed_kmh,220.85606384277344
player_median_speed_kmh,10.666110038757324
player_max_speed_kmh,163030.6875
player_speed_p25_kmh,13.80535888671875
player_speed_p75_kmh,66.22823333740234
player_distance_total_m,60003.89202095446
player_unrealistic_speed_events,880
goalkeeper_mean_speed_kmh,0.0
goalkeeper_median_speed_kmh,0.0
goalkeeper_max_speed_kmh,0.0
goalkeeper_speed_p25_kmh,0.0
goalkeeper_speed_p75_kmh,0.0
goalkeeper_distance_total_m,0.0
goalkeeper_unrealistic_speed_events,0
possession_total_visible_frames,670
possession_team1_frames,0
possession_team2_frames,0
possession_unknown_frames,750
possession_team1_pct,0.0
possession_team2_pct,0.0
possession_unknown_pct,111.94029850746269
team_avg_switches_per_track,0.0
team_max_switches_per_track,0
team_balance_team1_tracks,0
team_balance_team2_tracks,0
