metric,value
variant,finetuned_full
ball_frames_with_detection,688
ball_avg_detections_per_frame,1.0
ball_total_tracks,1
ball_avg_track_length_frames,688.0
ball_max_track_length_frames,688
player_frames_with_detection,750
player_avg_detections_per_frame,20.381333333333334
player_total_tracks,50
player_avg_track_length_frames,305.72
player_max_track_length_frames,750
goalkeeper_frames_with_detection,750
goalkeeper_avg_detections_per_frame,20.381333333333334
goalkeeper_total_tracks,50
goalkeeper_avg_track_length_frames,305.72
goalkeeper_max_track_length_frames,750
referee_frames_with_detection,750
referee_avg_detections_per_frame,2.7373333333333334
referee_total_tracks,16
referee_avg_track_length_frames,128.3125
referee_max_track_length_frames,593
ball_frames_with_observed,617
ball_frames_with_interpolated,71
ball_max_interp_gap,6
player_max_speed_stats_kmh,
player_unrealistic_speed_events,0
team_avg_switches_per_track,0.34
team_max_switches_per_track,4
team_balance_team1_tracks,17
team_balance_team2_tracks,26
