metric,value
variant,finetuned_no_cam
ball_frames_with_detection,715
ball_avg_detections_per_frame,1.0
ball_total_tracks,1
ball_avg_track_length_frames,715.0
ball_max_track_length_frames,715
ball_frames_with_observed,664
ball_frames_with_interpolated,51
ball_max_interp_gap,5
ball_coverage_pct,95.33333333333333
player_frames_with_detection,750
player_avg_detections_per_frame,20.293333333333333
player_total_tracks,46
player_avg_track_length_frames,330.8695652173913
player_max_track_length_frames,750
goalkeeper_frames_with_detection,254
goalkeeper_avg_detections_per_frame,1.0551181102362204
goalkeeper_total_tracks,7
goalkeeper_avg_track_length_frames,38.285714285714285
goalkeeper_max_track_length_frames,92
referee_frames_with_detection,750
referee_avg_detections_per_frame,2.824
referee_total_tracks,18
referee_avg_track_length_frames,117.66666666666667
referee_max_track_length_frames,620
player_mean_speed_kmh,374.7664489746094
player_median_speed_kmh,10.268394470214844
player_max_speed_kmh,141614.390625
player_speed_p25_kmh,47.80003356933594
player_speed_p75_kmh,67268.7578125
player_distance_total_m,70881.11777196864
player_unrealistic_speed_events,503
goalkeeper_mean_speed_kmh,15958.0546875
goalkeeper_median_speed_kmh,10.33741283416748
goalkeeper_max_speed_kmh,145691.328125
goalkeeper_speed_p25_kmh,139302.796875
goalkeeper_speed_p75_kmh,143901.03125
goalkeeper_distance_total_m,47086.43449964374
goalkeeper_unrealistic_speed_events,55
possession_total_visible_frames,664
possession_team1_frames,42
possession_team2_frames,257
possession_unknown_frames,365
possession_team1_pct,6.325301204819277
possession_team2_pct,38.704819277108435
possession_unknown_pct,54.96987951807229
team_avg_switches_per_track,0.0975609756097561
team_max_switches_per_track,1
team_balance_team1_tracks,15
team_balance_team2_tracks,26
