metric,value
variant,finetuned_no_team
ball_frames_with_detection,715
ball_avg_detections_per_frame,1.0
ball_total_tracks,1
ball_avg_track_length_frames,715.0
ball_max_track_length_frames,715
ball_frames_with_observed,664
ball_frames_with_interpolated,51
ball_max_interp_gap,5
ball_coverage_pct,95.33333333333333
player_frames_with_detection,750
player_avg_detections_per_frame,20.293333333333333
player_total_tracks,46
player_avg_track_length_frames,330.8695652173913
player_max_track_length_frames,750
goalkeeper_frames_with_detection,254
goalkeeper_avg_detections_per_frame,1.0551181102362204
goalkeeper_total_tracks,7
goalkeeper_avg_track_length_frames,38.285714285714285
goalkeeper_max_track_length_frames,92
referee_frames_with_detection,750
referee_avg_detections_per_frame,2.824
referee_total_tracks,18
referee_avg_track_length_frames,117.66666666666667
referee_max_track_length_frames,620
player_mean_speed_kmh,389.3979187011719
player_median_speed_kmh,13.597701072692871
player_max_speed_kmh,144447.65625
player_speed_p25_kmh,55.75887680053711
player_speed_p75_kmh,67360.4609375
player_distance_total_m,75664.94853987383
player_unrealistic_speed_events,867
goalkeeper_mean_speed_kmh,15864.8662109375
goalkeeper_median_speed_kmh,11.4044828414917
goalkeeper_max_speed_kmh,145879.515625
goalkeeper_speed_p25_kmh,137693.125
goalkeeper_speed_p75_kmh,143612.53125
goalkeeper_distance_total_m,46816.957063518465
goalkeeper_unrealistic_speed_events,38
possession_total_visible_frames,664
possession_team1_frames,0
possession_team2_frames,0
possession_unknown_frames,750
possession_team1_pct,0.0
possession_team2_pct,0.0
possession_unknown_pct,112.95180722891567
team_avg_switches_per_track,0.0
team_max_switches_per_track,0
team_balance_team1_tracks,0
team_balance_team2_tracks,0
